title,level
Update VS Code from Command Palette,Low
[Issue Reporter] Make link to vscode commit when creating extension issue,Lowest
Tokenization overhaul,Highest
ability to get/set currently selected debug configuration,Lowest
[themes] Explore theming support for semantic colors,Highest
"Migrate away from HockeyApp by November 16, 2019",Lowest
Find references: show number of children similar to search results,Lowest
Toggle line comment functionality,Lowest
Debounce outline request based on average reply duration,Lowest
Ability to change font-size per lines using an extension,Lowest
"[json] ""Fetch Online Package Info"" feature doesn't work when npm is not present",Low
A11y_VSCode_VersionControl_Screenreader_Voice Over does not announce information about operation.,Lowest
"""Save All"" named files (ignore untitled files)",Medium
"allow ⌘-` as ""quick switch window"" keybinding",Lowest
[css] Shorthand properties: show label for each value in hover,Lowest
Custom html tags are red in php language,Lowest
Debug smoke test should not hard code port number,Lowest
Add multi-select support to custom tree view,Lowest
Preserve scroll position when laying out editor groups via command,Lowest
Save section order of left panel in global.,Lowest
Finalize custom data support,Lowest
Update Octicons to match new icon style,Highest
Hirerarchical multi-root layout,Highest
Allow multiple instances of the File Explorer,Lowest
Add support of relative paths for ```git.ignoredRepositories``` ,Lowest
Allow to get a handler for the default Explorer TreeView,Lowest
'Configure File Association' has no icons!,Lowest
Key-bindings restricted to focus on custom views,Lowest
Do not update disabled extensions,Lowest
Screen reader does not announce the expand state of select box,Lowest
Investigate UI for data breakpoints,Lowest
"For long completion items, truncate the start of the string instead of the end",Lowest
Set Language-Specific Default Template for New Files,Lowest
Organic search,Lowest
PHP auto-closing HTML tags,Lowest
Allow us to define width of the find widget,Lowest
Allow to run VSCode hidden in the background for faster opening,Lowest
[config] `markdownDescription` is missing from autocomplete for nested properties,Lowest
"The `cursorWordPart`* commands are limited to editor text, unlike the other `cursorWord`* commands",Highest
Broken workflow: return to the old incremental numbering behaviour when pasting files,High
Automatic config the charset of opened file,Lowest
QuickOpen: add aria-setsize and aria-posinset,Lowest
TypeScript code lens treats `interface`s differently from `type`s,High
Add setting to hide button in top right corner,Lowest
Distinguish which workspace folder a symbol belongs to in Ctrl-T search for symbol (Go To Symbol),Lowest
proper JSDocs for function signatures using destructuring,Lowest
Get Electron version using VSCode APIs,Lowest
Add Zoom region when the user hover regions into the minimap,Lowest
“Remove destructuring” changes the function signature.,Lowest
files.watcherExclude setting should extend files.exclude,Lowest
Add the ability to disable extensions on battery power,Lowest
Show a warning when storing workspace within installation folder,Lowest
Persist view/panel/status view state in settings,High
Enable an iterative git workflow by showing diff compared to master,Lowest
Hyper modifier is unknown,Lowest
Make it easier to tell which status item will be disabled in context menu,Lowest
Section `Most Used` in Language Selection,Lowest
Taskbar Menu Item for Opening VSCode in Remote,Lowest
Create setting to disable all automatic task detection an only use tasks.json,Lowest
Implement resolveTask in typescript extension,Lowest
Implement resolveTask in npm extension,Lowest
Implement resolveTask in jake extension,Lowest
Implement resolveTask in grunt extension,Lowest
[json] format on save should remove last trailing comma in JSON with json-language-features,Medium
Add Icon for  workspace folder to show in tabs bar,Lowest
"With ""Indent Using Spaces"" TAB key inserts spaces even in middle of line",Lowest
Horizontal scrolling occurs despite word wrap enabled with GitLens decorations,Lowest
Compare merge conflict,Lowest
[Feature] StatusBarItem Support Context Menu,Lowest
 Cannot escape out of the search sidebar anymore,Lowest
Variables window collapses all expanded nodes after a Step/Step-Over/Continue,Lowest
Finalize typescript.useSeparateSyntaxServer,Lowest
Allow for configuration files in .devcontainer,Lowest
Finalize env.shell API,Lowest
Restart language server – a generic solution,Highest
[folding] instead of  '...' show body content for short methods,Lowest
Allowing integrated terminal zoom by mouse scroll,Lowest
Issue reporter: investigate to include more GPU information,Lowest
I want to tell vscode call which debug type by current extension name,Lowest
[Feature Request] Line Numbers in Centered Editor Layout,Lowest
Fetch the main processes parent environment when inheritEnv is false on macOS,Lowest
Pinning folders and files in explorer hierarchy ,Lowest
Simple file picker: Investigate filtering the file/folder list,Low
Not possible to explicitly change the foreground text color for widgets,Lowest
Improve Split View UI,Lowest
Pasting a file into a folder via the explorer should expand the folder,Lowest
Open files in window that have file already open or that have parent folder opened,Lowest
Use extension UUIDs for recommendations,Lowest
Select for Compare/Compare with Selected on context menu on tabs,Lowest
[themes] Offer a theme checker that reports missing theme keys,Lowest
Git: Add command for git stash drop,Lowest
VSC debugger does not map with the source .ts file when debugging mocha tests,Lowest
Chrome debugger: Use port forwarding to open URL when running with a remote,Lowest
Terminal: Ctrl/Cmd + Click does not trigger port forwarding,Lowest
File/folder picker: Open in new window with Ctrl/Cmd,Lowest
Add border between tabs and breadcrumbs in HC,Lowest
"Git checkout panel: divider line after local, option to sort branches by remotes",Lowest
Github Repo - Release Notes with Releases,Lowest
Add border around image in image preview,Lowest
Unable to distinguish between instances on mission control,Lowest
--telemetry should also be available as a normal command,Lowest
"Debug: make ""Attach to process"" more prominent",Lowest
"When terminal.integrated.inheritEnv is false on macOS, the env should be fetched via a native node module",Lowest
Add accesibility mode only keybindings to navigate up and down rows in the terminal,Lowest
Enable recently opened in web,Lowest
paste clipboard as HTML,Lowest
deprecate 'useWSL' launch config attribute,Lowest
VoiceOver: element order is reverse on the right hand side,Lowest
A Gutter !?,Lowest
breadcrumbs in file explorer tree,Lowest
Show Navigation for Markdown in Outline,Lowest
Automatic panel position on window resize,Lowest
Snippets: Scope by specific file or pattern,Medium
Documentation for running a Cygwin shell causes build to fail,Lowest
Allow inputs in launch task to set args array,Lowest
Diff gutter show on mouseover,Lowest
Hide editor context menu items,Lowest
No High Contrast selection highlight for TextEditorDecorations when on High Contrast theme,Lowest
Provide Code-Levels,Lowest
Typescript language server plugin should use a different workspace config key,Lowest
vscode.workspace.fs,Lowest
Explore using separate syntax server to more quickly answer js/ts syntax related ,Lowest
"vscode-node-debug assumes debug port open when --inspect-port is used for ""attach to process""",Lowest
Setting to render active line number,Lowest
Command links in notifications should support command arguments,Lowest
Search doesn't follow symlinks in a Samba share on Linux,Lowest
Explorer Window Visually difficult to read,Lowest
"Allow QuickPicks to show right-aligned text like ""recently opened"" in the command palette",Low
Terminal dom renderer doesn't render `dimmed` colors,Lowest
[folding] Fold current level,Lowest
Improve UX for organize imports on save failures / cancellations ,Lowest
Add option to drive breadcrumbs from view port top instead of current selection,Lowest
Support vertical tabs,Highest
Support default shell selector on non-Windows,Lowest
Enable remote server logs in web,Lowest
Cycle through unsaved documents when clicking 'n Unsaved' label,Lowest
Enable Color decorators in plain text,Lowest
Outline should forget previous selection,Lowest
Match next file and prev file shortcut to tabs,Lowest
Code folding enhancement request,Lowest
Simple Open Folder should default to current folder (or parent),Lowest
Snap: Support snapshot feature,Low
Make editor window snapping during line navigation optional,Lowest
Git commit template should be restored automatically (not only on commit),Lowest
Breadcrumbs enhancement: Pin each header to the top of the window,High
Increase the number of lines in the comment field,Lowest
"Extensions using the ""type"" command (for ex. Vim) have poor performance due to being single-threaded with other extensions",Highest
Feature request: Show window menu on mouse hover if in toggle mode,Lowest
Option to set the size of the undo/redo history,Lowest
Snippet Choice confirm choice should move to next placeholder,Highest
Add an option to choose a default browser for vscode,Lowest
Builtin support for reading files from their zip archives,Highest
Utilize Typescript for GDPR Annotations,Lowest
Tooling to allow for the extraction of telemetry metadata,Lowest
Improve error message when trying to save a file that is locked by another program,Lowest
autoAttachChildProcesses for attach type debug,Lowest
Move to line by dragging a current line ,Lowest
Add IntelliSense explain mode,Lowest
Multi Cursor issue,Lowest
Special Paste (SHIFT+CTRL+V),Lowest
Allow ctr+click/ctrl+hover in other places,Lowest
[Feature] Highlight current activity in activity bar more explicitly,Medium
Show Release Notes before update,Lowest
Middle click to open new window in Open Recent,Lowest
Unable to make font zoom levels persistent,Lowest
Update default value for terminal.integrated.inheritEnv,Lowest
"Visually emphasize where the text input focus is when ""editor.renderFinalNewline"" is set to false.",Lowest
Allow hiding the git sync status bar button but keep the branch,Lowest
$tsc-watch problemMatcher overwrites errors in Problems view when offending file is opened,Lowest
Passing by a tab copies selected content in primary clipboard (Linux),Lowest
Distinct appearance for (primary) cursor while in multiple mode,Lowest
Optimize handling of globs from extension searches,Lowest
Scroll amount depends on font size,Lowest
Support for a TDD Layout,Lowest
Do not activate extension with workspaceContains  always after installing,Lowest
Finalize runInBackground API,Lowest
Make completion/symbol item kinds themable,Lowest
"Global regex search with ""Not matching character"" doesn't match newline",Low
Interact with files in search results,Lowest
vscode extension - can't align text to the right in quickpick control,Lowest
Publish extension that makes it easier for users to use TypeScript@next,Lowest
Minimap: Render search result decorations,Lowest
Provide easy access to online services settings ,Lowest
Add ability to open files with the OS's default application,Medium
Add clickable button to dismiss QuickPick,Lowest
Explorer: option to disable auto open of files when no editor active,Lowest
Add sorting feature in search across files,Lowest
Editor Smart Zoom,Lowest
Custom find inputs,Lowest
Add clickable colour swatches that show the colour picker when clicked on,Lowest
editor.trimAutoWhitespace trims manually inserted whitespaces,Lowest
[Feature Request] Option to ignore autoreveal on tab close,Lowest
Add git status decorations to icons in sidebar,High
String visualizer for text variables,Lowest
Expose default shell API,Lowest
typescript: languages provided by plugins not synced,Lowest
Side panel width stateful per tab/extension,Lowest
Suggest: Show task label in splitted terminals,Lowest
Native Real-Time Preview in the code editor,Lowest
[API] Terminal.name returns empty string after calling createTerminal(),Lowest
Reopen Closed Editor should stop after first editor that cannot be opened,Lowest
web - support to load icons/resources contributed by extensions,Lowest
Option for auto closing comments,Lowest
Feature request: Trigger quick action anywhere in line,Lowest
Rubber Band Pin,Lowest
Find and replace - replace without a new find,Lowest
Allow option to set titlebar to custom inset,Lowest
When Debug Toolbar is docked show all the time,Lowest
Save width of Explorer column (sidebar) in Workspace,Lowest
Add option to quick open files in edit mode instead of preview,Lowest
Support aligned icons (octicons) in quickpicks,Lowest
typescript build in prelaunchtask fails,Lowest
Allow to show status bar entries with an id and name,Lowest
Extend Extension API with QuickPickSeparator Support,High
Add sideBarTitle.background color,Lowest
Double-click the file title to maximize the editing area,Lowest
[json] Override/disable json-schema for package.json,High
Theme error/warning/info icons,Lowest
Allow to define the lifespan of an input variable value,Lowest
[feature request] Outline view: multi-key sort,Medium
Intellisense Window Resizable,Lowest
Compute number of problems after filter,Lowest
Feature request: find: add a delete button (not replace with nothing),Lowest
Expect minimap functionality and similar to xcode 11,Highest
Make problems/errors more visible (red icon in statusbar),Lowest
Allow to disable the snapping feature of parts when using the mouse to reveal/hide,Lowest
Tab bar should not scroll horizontally after closing a tab,Lowest
Support icon definition per folder in workspaces,Lowest
FreeBSD support - now that Electron is available,Lowest
Share source repository project version / tag with artifact repository version/tag,Lowest
Support Custom Link Matchers in Terminal via API,Lowest
Minimap: support // Mark meta comments to support custom rendering in the minimap,Highest
Horizontal Scrolling Interferes with Vertical Scrolling on MacBook Pro,Lowest
Enable the search box font to be enlarged,Lowest
"Intellisense, Add an option to delay validation (and thus wavy lines in code).",Lowest
Linked files in toolbar? (dreamwever-like),Lowest
[json] Allow full glob filtering for fileMatch in json.schemas,Lowest
Should vscode improve long line performance like in DIGEdit?,Lowest
Setting extensions path in settings.json,Lowest
"Image preview should only draw ""transparent"" checkered background for the size of the image",Lowest
Support object types for `TreeItem.contextValue`,Lowest
Render extension icons in Settings GUI,Lowest
Provide a way for the user to assign layering priorities on highlighters,Lowest
Allow to drag the application window from the activity bar,Lowest
Allow debugger contributions to specify filenames as well as languages to be default debugger,Lowest
[css] Color picker for rgba() function in CSS,Lowest
"Side Bar with Lists, Checkboxes, Text",Low
Add warning if closing a terminal with a running process,Lowest
Allow us to extend launch configurations,Lowest
Outline View for CSS doesn't list media queries,Lowest
Introduce a file scheme to open files in diff mode,Lowest
Individual widths for views in sidebar,Lowest
Create a node-pty host process with flow control and event batching,Medium
URL Handler: support untitled files,Lowest
Alert or notify users when they hit the max line length supported by the editor,Lowest
Inform the user when all merge heads are fixed,Lowest
Word wrapping renders spaces as first characters on a line,Lowest
Explorer does not render files with newlines properly,Lowest
Warning color is inconsistent in peek,Lowest
Add support to distinguish between diagnostics created by a reconciler and a builder,Lowest
Provide simpler getting started settings,Lowest
Support fixed width terminal windows,Highest
increaseIndentPattern cannot be case insensitive,Lowest
Allow to provide custom activity bar Icons,Lowest
Switch native keyboard bindings?,Lowest
Multi Cursor in different Files,Lowest
"Notepad++ ""Define your Language""",Lowest
"Command ""clear recently opened"" should have a confirmation box or different highlight.",Lowest
Outline remember previous file scroll position,Lowest
Allow to control the background color of the active tab in an editor group that does not have focus,Lowest
Extensions list should ignore openMode and enablePreview settings,Lowest
[folding] Fold All in selection,Lowest
"Option to don't automatically remove an item from ""Files -> Open Recent"" ",Lowest
Automatic Space in the end of line when saving a code,Lowest
[themes] Allow to set a background color for settings / webview editors,Lowest
I'd like to be able to alias shortcut key to another key,Lowest
To exclude symlinks from files.exclude,Lowest
Forcing `setBreakpoints` request on sources change,Lowest
Get vscode into Git's builtin diff & merge tools,Lowest
Support configuring PagedScreenReaderStrategy._LINES_PER_PAGE,Lowest
Debug: introduce setting to not save before starting debugging,Lowest
Persist Debug pane information after debugging stops,Lowest
UX: switch to octicons for all icons in the status bar,Lowest
Pressing tab in debug console input changes focus,Lowest
Add API for forwarding arbitrary ports when running remotely (without spawning browser),Lowest
Files navigation feature in tabs section,Lowest
Support smart select for JavaScript and TypeScript  ,Lowest
"Add ""type"" to textDocument/references results (icon, filtering)",Lowest
Render multi-root workspace folders in multiple views,Highest
Show enum CSS property value first in completion ,Lowest
Indicate a setting is overridden by language overrides,Medium
"Provide an API for extensions to know when they're running ""remotely""",Lowest
Whitespace characters render over the top of decorations,Lowest
Allow to color-theme all icons,Lowest
Git: Support deleting tags,Lowest
Disable all extension recommendations besides manually defined extensions,Lowest
"[html] path intellisense <input type=""image"" src=""/"">",Lowest
Allow that folded range starts below the line with the folding marker,Lowest
Integrate OpenTracing API into the debugger,Lowest
mix Glyph Margin and folding on one line,Lowest
TextEditorDecoration applied to incorrect range if racing with user edits,Lowest
OpenEXR view image format support,Lowest
extension api: port mapping for websockets not working,Lowest
Go to definition often changes editor group,Lowest
Git: support passing extra environment variables on git spawn,Lowest
Rearranging functions and members with keyboard shortcut,Lowest
Enable breadcrumbs by default,Lowest
[Feature request] View only the breakpoints in the current file in the debugger tab,Lowest
Expose command/context to allow using tab to autocomplete simple dialog,Lowest
Add select default shell to terminal dropdown on windows,Lowest
Expose vscode remote reconnecting UI.,Lowest
Add New Project menu item and open it to extension developers to add project types,Lowest
Progress bar for long file operations,High
Support machine-specific settings that can be set (overridden) in workspace/folder,Lowest
Add option to disable animations in the status bar,Lowest
VSCode command for showing Comments panel,Lowest
Minimising/maximising nested editor groups also affects outer/perpendicular editor groups,Lowest
Allow TreeItem to revive serialized Uri,Lowest
Change matching HTML tag when either is edited,Lowest
Git: output could also show timing,Lowest
"In terminal, a way to show a folder in the sidebar, e.g. hyperlink folder paths",Lowest
Add option to skip sorting QuickPick items,High
Allow to describe the workspace with comments,Lowest
Feature Request: Close Output when there are no problems,Lowest
Tree: setting for clearing filter when focused,Lowest
Terminal default font not useful if editor font is proportional,Lowest
Missing oldschool czech/slovak encoding,Lowest
Close Others on Preview Editor should make it Normal,Lowest
Add color swatch for css variable in intellisense description,Lowest
Semantic bracket matching,Lowest
New revealProblems property in task presentation options is missing from the API,Lowest
[debug] add option to select workspace folder when calling 'Add Configuration',Lowest
File dialogs should get seeded with selected folder of explorer,Lowest
Please implement block (scope) highlighting,Lowest
detect mode id based on content,Lowest
Better outline tree settings/functionality for tree depth and expand/collapse functionality,Highest
Pin task in the npm script explorer,Lowest
Add gutter icons for classes and members navigation,Medium
Make workbench.dialogs.useSimplified a real setting,Lowest
Add option to disable tasks terminal closing on key press.,Lowest
Add more flexible Decorations or editor overlays for extensions,Highest
Reset file dialog working directory when clearing history,Lowest
Add a Windows Explorer Preview Handler for associated file types,High
Let's make playground(sandbox) for coding,Lowest
Allow extensions to prevent task configuration for tasks from their task providers,Lowest
Be able disable task detection from tasks.json or override tasks execution,Low
Update Snakemake files types to include `Snakefile` to provide syntax detection,Lowest
Provide a homeDir system variable for use in launch.json,Lowest
Line position when comparing,High
Add Encoding hp-roman8,Lowest
"When using a variable-width font, line numbers should use tabular numbers",Lowest
Wait until file saved before opening its associated source control repo,Lowest
Ability to create workflows in a visual UI by chaining commands,Lowest
Different font for different content,Lowest
Upper-case aware completion when opening folder with remote ssh,Lowest
Improve handling of extensions when workspaceContains times out,High
Show branch name near commit message box,Low
"A snippet definition should not require a ""prefix"" property to be considered valid",Lowest
Have a button to create a new file on the tabs stripe,Low
Sane maximization/minimization behavior,Lowest
Git: Add events to API,Lowest
Open unknown files with associated programs,Lowest
Have a context key to indicate which editor group is focused,Lowest
Reverse like button for find and replace,Lowest
Create task terminal from existing instances. ,Lowest
Drop `.txt` for new untitled files in Save As... dialog,Lowest
Cannot set embedded language indentation rules,Lowest
I would like to be able to clear the references list,Lowest
Automatic Indentation doesn't work for single line conditionals in C/C++,Lowest
Suggest install of recommended extensions after rebase,Lowest
Add docs.rs to list of approved badge providers,Lowest
Include full path in windows taskbar hover for code workspaces,Lowest
Stabilize FileSearchProvider API,Medium
Option to disable only angle bracket highlighting ,Lowest
Issue Reporter falls back to filing an Extension report here if extension doesn't offer a GH repo,Lowest
Issue Reporter - link to wiki page about writing good reports,Lowest
Allow addition of individual files to a workspace,Highest
"Add a ""Reinstall"" option next to ""Uninstall"" that calls ""Developer: Reinstall extension""",Lowest
Reload CSS when running out of sources,Lowest
Toggle search view position should also appear in empty search view,Lowest
Splitview: support to exclude certain views from proportional resize when they are at their minimum,Lowest
[folding] configure plain text to use offSide folding,Lowest
Show line/column information when including in search filter string,Lowest
ZenMode: reload should preserve sidebar visibility,Lowest
Persist sudo/admin info for a file once asked for session,Lowest
Allow to open all files of a folder when dropping it into editor area,Medium
Add shift+ctrl option to editor.multiCursorModifier setting,Lowest
"Installing extension from extension page ""Install"" button keeps the notification baloon in bottom right",Lowest
Allow to open .code-workspace as a workspace file (file without name),Lowest
"Workspace folders pointed to the same path, with individual ability to exclude files",Lowest
Allow for uninstalling extensions using the API,High
Upgrading a theme currently requires a window reload,Lowest
Temporarily Closeable Workspace Folders,Lowest
Support file-level snippet variables. ,Lowest
tasks.json as a symlink isn't reloaded when changed,Lowest
Ability to download older extension version from Marketplace,Lowest
Add 'qsh' as a valid shellscript firstline,Lowest
Background tasks with activeOnStart:false shouldn't show problems if beginsPattern isn't matched,Lowest
Splitting terminal opens default shell instead of current one,Lowest
Allow open settings complex command to target extension settings,Lowest
Regex pattern to clear all problems of a task owner,Lowest
Debug console clear command focuses the debug console,Lowest
TextEditorDecorators should also be rendered in minimap,Lowest
Add a window.title variable for the folder the workspace file is in,Lowest
Enable FileSystemProvider to stat a file as readonly,Lowest
"For long hovers, errors appear all the way at the bottom and require scrolling",Medium
Make scroll bar opaque,Lowest
keyboard help mode for screen reader users ,Lowest
Add a button to open Find All References from Peek References,Lowest
Expose offline/online detection to extensions,Low
C/C++ .i header files taken as plain text,Lowest
Join lines not very smart,Lowest
Feature Request: open Peek References when Ctrl-click is on the symbol in its declaration,High
[themes] Ability to refer existing color identifier while customising colors,Lowest
Prevent VS Code from closing when watching/debugging,Lowest
"In ""files to include/exclude"", should recognize semicolons as separators",Lowest
Enumerable properties mixed with regular properties ,Lowest
[powershell] add here-string autoClosingPairs to PowerShell,Lowest
Multiline copy/paste from VS Code to Visual Studio,Lowest
createWebviewPanel to Return the Existing Panel of the Same viewType,Low
Allow debugging an extension with a native napi addon,Lowest
"Keep suggestion widget open while cycling through options in ""Tab Completion""",Lowest
[folding] make max folding region limit configurable,Lowest
[folding] Support flags on folding.markers RegExps,Lowest
"Source Control: ""Accept All Incoming"" for ""deleted by them"" should delete the file from working copy and stage the change",Medium
"Highlight currently open file in Source Control tab - just like in Explorer's ""Open Editors""",High
Add action for toggling editor group maximize,Low
"[themes] Support for hue, saturation, lightness (HSL) color codes for theming",Medium
Task input variables always show default value instead of remembering the last value,High
Tabstops on the fly,Lowest
Allow scrolling terminal smoothly,Lowest
Indentation of file-explorer-icons Not Correct,Lowest
Provide a way for extensions to open the keybindngs editor with a query,Lowest
Auto Detect Language Mode,Lowest
Interface zooming delta is way too big,Lowest
Folding-Scrollbar (feature request),Lowest
[cpp] support cpp block comment as an auto-closing pair,Lowest
Allow case sensitive paths on Windows/macOS,Lowest
Dump filesystem watchers to output window,Lowest
Emmet: Add support for 'css.color.short' Emmet preference,Lowest
Add sort & search in process explorer,Lowest
Statically Located Files,Lowest
Option for unified Search / Replace Bar,Lowest
"Option for narrow (soft, light) word wrap indent",Lowest
Option to show tabs on mouseover only,Lowest
[folding] Option to show both fold/unfold controls on mouseover only,Lowest
Add context filter to new feature,Lowest
Block comments in TSDoc `@example` sections not (practically) usable,Lowest
Show the specific html tag where the cursor on,Lowest
Option to hide sashes in centered layout,Lowest
Yank back killed text `ctrl+y` stopped working,High
Reading Mode Request,Lowest
"Share ""inputs"" variables across tasks.json and launch.json. ",High
User Settings support for TypeScript plugin configuration,Lowest
Git: Support aborting the current rebase,Lowest
Support terminals to be launched from extensions but not show in panel,Lowest
Multiple selection in several tabs ,Lowest
index.js/index.ts file should show at top of file picker when searching for the name of the directory,Highest
Terminal does not auto scroll after clearing output,Lowest
feat(global symbols): make config to disable export global symbols,Lowest
Settings UI display order,Lowest
Enable or expose ripgrep’s --auto-hybrid-regex flag to use PCRE2 only if necessary,Lowest
[Feature] An option to move the activity bar to the top ,Low
Proposal: Animate `workspace.applyEdit`,Lowest
Support pwsh (PS Core) in Select Default Shell on Windows,Lowest
[folding] selecting first line of folded range does not select full folded range,Lowest
Open the folder in the current or a new window ?,Lowest
Avoid opening a new macOS space when starting VS Code,Lowest
Add hover transparency,Lowest
Click the stack trace link in debug console the java file no highlight,Lowest
Support serverReadyAction in tasks.json,Medium
Improve usability of minimized/maximized editors,Lowest
Provide a way for extensions to open the settings editor with a query,Lowest
Display file sizes in git compare changes view,Lowest
Allow to quickly disable filesystem watching,Lowest
Update: Check for updates on startup only,Lowest
Allow to focus on definition peek/preview,Lowest
Extension development: improve experience for testing extension APIs,Lowest
[Feature Request] Add auto-resize to sidebar,Medium
VSCode should be aware it might have been called via electron binary,Medium
[Feature] Config option to hide sidebar title,Lowest
Add an option to decide whether to stay in that area while placing the cursor on a longer line of code and then placing the cursor on a shorter line,Lowest
Support custom icons in status bars,Lowest
[json] package.json: also show latest beta version,Lowest
Follow-on task following task completion or termination by user,Lowest
Large image file,Lowest
Add option to disable line wrap on debug console,High
customize name of workspace '.vscode' directory ,Lowest
Support Machine scope for settings,Lowest
auto closing pairs with conflicting patterns problems,Highest
Separate workspaces from directories in Open Recent menu,Lowest
"""window.openFoldersInNewWindow"" - feature request for another option/behavior",Lowest
horizontal scrollbar shows up very often in debug hovers,Lowest
JSON Language Server doesn't declare formatting capabilities as result of initialize,Lowest
Tree: filter is not discoverable,Low
Allow to remove individual items from open file palette,Lowest
Support to add a button/link to a progress notification,Lowest
On maximizing the panel I would expect to have the focus on the prompt.,Low
Filter search results by file type,Low
Editor zooming (editor.mouseWheelZoom) is too sensitive,Lowest
Disable hover but keep Ctrl+Hover,Lowest
Extension API: Different Syntax Highlight Schemes for Output Window,Lowest
Implementation of top level function is not shown in hover,Lowest
Allow separate windows to have individual zoom settings,High
Feature request: Option to not toggle open/close folder when clicking on folder name,Lowest
Allow to close child folder so that they get excluded from search,Lowest
Allow languages to specify autoClosingQuotes/autoClosingBrackets per quote or bracket pair,Lowest
"Support to mark and extension as ""FREE TRIAL"" ",High
Ability to disable or configure Git change peek button next to line number,Lowest
"Improve ordering of ""Go to symbol in workspace"" results",High
increase file path display list length,Lowest
Include the extension that provides the formatter when choosing a formatter,Lowest
Run multiple launch.json test configurations in sequence,Lowest
"SOCKS5 proxy worked but the regex verification only accept ""https""",Lowest
Save opened editors session to a file (inside the project dir) for migration,Lowest
[themes] settings: support for multiple theme names in VSCode colorCustomization,Lowest
exclude folder in context menu,Lowest
CSS vendor prefixes at the top,Lowest
Option to completely hide titlebar and menubar in Windows,Lowest
Separate file copy paste and text/code copy past,Lowest
Default formatter selection should write to project specific settings rather than global.,Lowest
Do not save editor onWindowChange when a modal dialog opens,Lowest
Can't Ctrl+Click in Python stack trace if path contains spaces,Lowest
Ability to suppress dialogs that occur within vscode.debug.startDebugging,Lowest
[folding] Distinctly highlight corresponding `#endregion` for `#region X` comments,Lowest
Autocompletition with Tab key behaves more like Bash auto completition,Lowest
"""autoClosingPairs"" ""notIn"" ""comment"" does not check for multiline",Lowest
Add touch mode,Lowest
Highlight changes made in a file between saves,Lowest
Add Option to Show Border Around Window When Active,Medium
Detect VMs and show notification with tip to improve performance,Lowest
Delete All Left should still function when any text is selected/highlighted,Lowest
workbench.action.debug.selectandrun,Lowest
Join Lines Redesigned,Lowest
Re-use existing editor tab from unfocused editor group when hitting a breakpoint,Lowest
Zoom out feature,Lowest
Errors in explorer: create a fake sub node with an error message,Lowest
[Feature] Add support to filter scripts from the script explorer using regular expressions,Medium
Implement showFirstIndentGuideLines,Lowest
Link in the editor with the `vscode:` URI scheme is parsed as `file://vscode:...`,Lowest
Indentation Rules not applied with API insert,Lowest
[themes] Debounce color theme selection,Lowest
allow searching for references (Shift + F12) from searching for references preview,Lowest
Allow preLaunchTask to run task from another project in workspace,Lowest
Why not support all encodings that are supported by iconv-lite?,Lowest
"Add ""statusBarItem.prominentForeground"" color token",Lowest
[scss] Validate scss @directives with `unknownProperties` rule,Medium
Handle source map/original file content diffs,Lowest
Settings for editor panes extending,Lowest
"Indicate in tab when you don't have write permissions, e.g., /usr/local/go/src/fmt/print.go",Lowest
Gray out emojis when commented,Lowest
Call Stack should be able to render from both sides,Lowest
Pls add: Scientific View - Variable Explorer & Data Frame Viewer,Lowest
Smart Backspace feature,Highest
"Automatically show changes side-by-side if there's only one group, otherwise show changes inline",Lowest
Warn users to check TMPDIR when making tmpdir fails,Lowest
"Mixed indentation (tab in code, spaces in multiline string) does not work well in TypeScript",Lowest
Titlebar menu,Lowest
Disable/Enable Emmet Command,Lowest
Zone widget scrollbar height,Lowest
Task input parameters from showOpenDialog,Lowest
API to trigger a refresh of the OUTLINE (DocumentSymbols),Lowest
Perl5 support to fold POD blocks,Lowest
Need keyboard shortcuts for buttons in custom dialog,Lowest
Add 'ash' as a valid shellscript firstline.,Lowest
Create new folder in simplified file dialog,Low
Add cmd + D to duplicate line in default keybindings,Lowest
Simple language agnostic code completion ,Lowest
Verified extensions in marketplace,High
Text in custom dialogs should select/copyable,Lowest
Do not automaticall populate search box with selected text,Lowest
Proposal: Don't remove currently opened file/folder when deleting MRU list,Lowest
Remove single line / group from debug console,Lowest
Children of the cut folder don't look like cut folders/files,Lowest
Default formater should be preselected by quick pick ,Lowest
Toggle Word Wrap does not render a checkmark,Lowest
Centered layout should be stored globally not per workspace,Lowest
How can a FS provider determine the correct workspace folder root when it recevies a call,Lowest
Don't allow moving files from disk to custom URI provider,Lowest
Show progress bar when copying files to custom FileSystemProvider,Lowest
Make auto-quoting toggle rather than just applying,Lowest
Automatic log expressions for Logpoints (Print debugging),Lowest
Support for command links in property descriptions,Lowest
Do not hide last debug session if there ever were more than one,Lowest
In column mode selection ignore different line length,Lowest
Automatically populate command palette with highlighted keyword(s) in the editor,Lowest
[scss] validate @imports as errors for not existing local files,Lowest
Add a sub option for inline snippetSuggestions,Lowest
Add support for styling active / inactive editor group,Lowest
"""Pick a remote to publish the branch to"" should have a ""new branch"" option",Lowest
Allow to drop a folder into the explorer to copy it in,Lowest
[Feature] Extending Panel with WebView,Lowest
File Provider: support symbolic link operations,Lowest
Port the excellent Notebook support from Azure Data Studio,Lowest
Call hierarchy: use different icons to express semantics of call graph nodes,Lowest
Allow to adjust letter spacing by fonts separately,Lowest
No clue that server ready action is running,Lowest
Add some UX to let users know that having multiple formaters is discouraged,Lowest
